incident_id,incident_datetime,borough,dispatch_area,zipcode,travel_seconds,response_seconds,start_lat,start_lon,dest_lat,dest_lon,depot_id,depot_name,depot_layer,start_source,start_mode,crow_flies_km,prefer_borough,initial_call_type,final_call_type,alarm_box_borough,alarm_box_number,alarm_box_location,dispatch_wait_seconds,valid_incident_rspns_time_indc,engines_assigned_quantity,ladders_assigned_quantity,other_units_assigned_quantity,highest_alarm_level,borough_norm,dispatch_borough,modzcta
260630-X2299-002-0973,2026-06-30T21:01:34.000,BRONX,2299,10451,293.0,340.0,40.81928533,-73.92402557,40.81939022762444,-73.92532803861734,266,CSL PARK AVE & E 151 ST,csl,nearest_synthetic_csl_in_bronx,hybrid_csl,0.11022097099400818,BRONX,Utility Emergency - Electric,NonMedical Emergencies,BRONX,2299,CONCOURSE VILLAGE E & E 156 ST,46,Y,3.0,2.0,1.0,First Alarm,BRONX,,10451
260630-X3862-001-0972,2026-06-30T21:01:23.000,BRONX,3862,10470,322.0,327.0,40.89659383,-73.86954189,40.89518159734686,-73.87185745378329,703,CSL E 233 ST & E 234 ST NEAR KEPLER AVE,csl,nearest_synthetic_csl_in_bronx,hybrid_csl,0.2500792497526148,BRONX,Medical - No PT Contact EMS is Onscene,Medical Emergencies,BRONX,3862,NEREID AVE & WHITE PLAINS RD,4,Y,1.0,0.0,0.0,First Alarm,BRONX,,10470
260630-M0260-006-1361,2026-06-30T21:00:32.000,MANHATTAN,260,10002,301.0,340.0,40.716439,-73.983927,40.716440130565445,-73.98514522742113,5,Battalion 4/Engine 15/Ladder 18,fdny_firehouse,nearest_firehouse_in_manhattan,hybrid_static,0.10267214211786696,MANHATTAN,Assist Civilian - Non-Medical,NonMedical Emergencies,MANHATTAN,260,CHRYSTIE ST & BROOME ST,39,Y,1.0,1.0,0.0,First Alarm,MANHATTAN,,10002
260630-B1278-001-0906,2026-06-30T21:00:05.000,BROOKLYN,1278,11215,266.0,285.0,40.66495,-73.981452,40.662056992233616,-73.98583243620013,91,Engine 220/Ladder 122,fdny_firehouse,nearest_firehouse_in_brooklyn,hybrid_static,0.48989344077951896,BROOKLYN,Utility Emergency - Water,NonMedical Emergencies,BROOKLYN,1278,6 AVE & 15 ST,18,Y,0.0,1.0,0.0,First Alarm,BROOKLYN,,11215
260630-M0283-003-1359,2026-06-30T21:00:03.000,MANHATTAN,283,10002,355.0,362.0,40.716439,-73.983927,40.716440130565445,-73.98514522742113,5,Battalion 4/Engine 15/Ladder 18,fdny_firehouse,nearest_firehouse_in_manhattan,hybrid_static,0.10267214211786696,MANHATTAN,Medical - Breathing / Ill or Sick,Medical Emergencies,MANHATTAN,283,BOWERY & RIVINGTON ST,6,Y,1.0,0.0,0.0,First Alarm,MANHATTAN,,10002
260630-X2348-001-0970,2026-06-30T20:57:23.000,BRONX,2348,10451,290.0,341.0,40.81928533,-73.92402557,40.81939022762444,-73.92532803861734,266,CSL PARK AVE & E 151 ST,csl,nearest_synthetic_csl_in_bronx,hybrid_csl,0.11022097099400818,BRONX,Alarm System - Unnecessary,NonMedical Emergencies,BRONX,2348,SHERIDAN AVE & E 161 ST,51,Y,1.0,1.0,1.0,First Alarm,BRONX,,10451
260630-Q1025-001-0737,2026-06-30T20:55:49.000,QUEENS,1025,11691,390.0,422.0,40.604819,-73.75213,40.60251162659905,-73.75425066145213,196,Engine 264/Engine 328/Ladder 134,fdny_firehouse,nearest_firehouse_in_queens,hybrid_static,0.3128570491068716,QUEENS,Elevator Emergency - Occupied,NonMedical Emergencies,QUEENS,1025,ROOSEVELT COURT & BEACH 9 ST,31,Y,0.0,1.0,0.0,First Alarm,QUEENS,,11691
260630-Q7276-001-0736,2026-06-30T20:55:40.000,QUEENS,7276,11101,318.0,364.0,40.74649713,-73.93226763,40.745855964057014,-73.94066377679383,488,CSL SKILLMAN AVE & 32 PL,csl,nearest_synthetic_csl_in_queens,hybrid_csl,0.7108941316000547,QUEENS,Alarm System - Testing,NonMedical Emergencies,QUEENS,7276,THOMSON AVE & 31 ST,46,Y,1.0,1.0,1.0,First Alarm,QUEENS,,11101
260630-B4067-001-0903,2026-06-30T20:55:10.000,BROOKLYN,4067,11239,487.0,495.0,40.65301502,-73.89428989,40.646687328004695,-73.88205993731032,424,CSL WILLIAMS AVE 600' S OF STANLEY AVE,csl,nearest_synthetic_csl_in_brooklyn,hybrid_csl,1.248843845724156,BROOKLYN,Medical - Breathing / Ill or Sick,Medical Emergencies,BROOKLYN,4067,TWIN PINES DR & PENNSYLVANIA AVE,7,Y,1.0,0.0,0.0,First Alarm,BROOKLYN,,11239
260630-X2375-001-0968,2026-06-30T20:52:30.000,BRONX,2375,10459,253.0,297.0,40.82679445,-73.89191272,40.82565518017367,-73.89260405134473,303,CSL SOUTHERN BLVD & E 167 ST,csl,nearest_synthetic_csl_in_bronx,hybrid_csl,0.1393977411416439,BRONX,Utility Emergency - Gas,NonMedical Emergencies,BRONX,2375,WESTCHESTER AVE & STEBBINS/POLITE AVE,44,Y,1.0,1.0,1.0,First Alarm,BRONX,,10459
