uid,facname,factype,facsubgrp,address,boro,borocode,zipcode,latitude,longitude,opname,optype
5a63a204e6925cd41290dbb3b9d04e0f,CONEY ISLAND HOSPITAL/EMS 43,AMBULANCE STATION,OTHER EMERGENCY SERVICES,2601 OCEAN PARKWAY,BROOKLYN,3,11235,40.585646,-73.964869,NYC Fire Department,Public
61087f87c757c50ce43b689037c19a41,ELMHURST HOSPITAL CNTER/EMS 46,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,79-01 BROADWAY,QUEENS,4,11373,40.745121,-73.885641,NYC Health and Hospitals Corporation,Public
63a7be4e4a4e2428b77b292ee161d27b,EMS STATION 55,AMBULANCE STATION,OTHER EMERGENCY SERVICES,3134 PARK AVENUE,BRONX,2,10451,40.823884,-73.917114,NYC Fire Department,Public
6555ad25beb66a8eafe2b3ad1067ca75,CUMBERLAND HOSP/EMS STATION 31,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,39 AUBURN PLACE,BROOKLYN,3,11205,40.695498,-73.976819,NYC Health and Hospitals Corporation,Public
691499d1206f638699590b4f25f5930b,EAST NY NEIGHBRHD FAMILY CARE,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,2094 PITKIN AVENUE,BROOKLYN,3,11207,40.67162,-73.895158,NYC Health and Hospitals Corporation,Public
695ec7555246e8b216663159e4debdd1,EMS STATION 3/HAVEMEYER GARDEN,AMBULANCE STATION,OTHER EMERGENCY SERVICES,2301 LACOMBE AVENUE,BRONX,2,10473,40.817822,-73.844073,NYC Fire Department,Public
6c9c0945fd416365e94043306f43ccc2,TRIBOROUGH BRIDGE PLAYGROUND.E,AMBULANCE STATION,OTHER EMERGENCY SERVICES,HOYT AVENUE,QUEENS,4,11102,40.773002,-73.920878,NYC Fire Department,Public
7347ad879af248151db879ce2211cedd,BELVUE HOSP/OCME/EMS STATION 8,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,430-514 FIRST AVENUE,MANHATTAN,1,10016,40.738747,-73.975343,NYC Health and Hospitals Corporation,Public
7626fabcaaa44acbf2671b36b55c7409,EMS STATION 44 PARKING,OUTDOOR PARKING - AGENCY VEHICLES,CITY AGENCY PARKING,254 ROCKAWAY AVENUE,BROOKLYN,3,11233,40.674488,-73.911413,NYC Fire Department,Public
7abafa486c3c075ae3ed6308550f0d02,KINGS COUNTY HOSP./EMS ST. 38,EMERGENCY MEDICAL STATION,OTHER EMERGENCY SERVICES,451 CLARKSON AVENUE,BROOKLYN,3,11203,40.656629,-73.944144,NYC Health and Hospitals Corporation,Public
7dc1d072131eacd3a0edf421eef2fc3e,EMS 7,AMBULANCE STATION,OTHER EMERGENCY SERVICES,,MANHATTAN,1,10001,40.753508,-74.005761,NYC Fire Department,Public
84e4189702d1f799c2adfd58d95abec4,EMS STATION 26,AMBULANCE STATION,OTHER EMERGENCY SERVICES,1264 BOSTON ROAD,BRONX,2,10456,40.830581,-73.900559,NYC Fire Department,Public
8b7c10d7f09c4f7b16b82d59183b3abf,EMS STATION 49,EMERGENCY MEDICL STN,OTHER EMERGENCY SERVICES,41-06 19 AVENUE,QUEENS,4,11105,40.776784,-73.899289,NYC Fire Department,Public
8e06d1df276870722d6568b4c7ba3d4e,EMS STATION 52,AMBULANCE STATION,OTHER EMERGENCY SERVICES,135-16 38 AVENUE,QUEENS,4,11354,40.760204,-73.831968,NYC Fire Department,Public
